sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,state_steer_delta_deg,case_id,case_name
2731,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.73,38.8395679639148,-0.26687224795121,14.5916494755177,28.4032974691726,3.46678534141239,29.3747030744225,0,3,MV-001,step_steer_30kmh
2732,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.731,38.8390652029809,-0.266842505832805,14.5914805763536,28.4132098018397,3.47104466398776,29.3845084758685,0,3,MV-001,step_steer_30kmh
2733,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.732,38.8385624524926,-0.266812803780369,14.5913113376141,28.4231209189247,3.47530646082858,29.3943125998017,0,3,MV-001,step_steer_30kmh
2734,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.733,38.8380597124305,-0.266783141166512,14.5911417645804,28.433030819828,3.47957073155503,29.4041154456313,0,3,MV-001,step_steer_30kmh
2735,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.734,38.8375569827691,-0.266753517254176,14.5909718632126,28.44293950395,3.48383747578722,29.4139170127668,0,3,MV-001,step_steer_30kmh
2736,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.735,38.837054263476,-0.266723931200135,14.5908016401264,28.4528469706914,3.48810669314517,29.4237173006181,0,3,MV-001,step_steer_30kmh
2737,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.736,38.8365515545128,-0.26669438205883,14.5906311025694,28.4627532194529,3.49237838324882,29.4335163085954,0,3,MV-001,step_steer_30kmh
2738,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.737,38.8360488558353,-0.266664868786553,14.5904602583945,28.4726582496351,3.4966525457181,29.4433140361095,0,3,MV-001,step_steer_30kmh
2739,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.738,38.8355461673932,-0.266635390245803,14.5902891160341,28.4825620606391,3.50092918017291,29.4531104825714,0,3,MV-001,step_steer_30kmh
2740,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.739,38.8350434891307,-0.266605945209988,14.5901176844709,28.4924646518658,3.50520828623315,29.4629056473924,0,3,MV-001,step_steer_30kmh
2741,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.74,38.8345408209868,-0.2665765323684,14.5899459732098,28.502366022716,3.50948986351877,29.4726995299842,0,3,MV-001,step_steer_30kmh
2742,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.741,38.8340381628953,-0.266547150331278,14.5897739922474,28.512266172591,3.51377391164971,29.4824921297591,0,3,MV-001,step_steer_30kmh
2743,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.742,38.833535514785,-0.26651779763526,14.5896017520414,28.5221651008917,3.51806043024601,29.4922834461293,0,3,MV-001,step_steer_30kmh
2744,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.743,38.8330328765806,-0.266488472748867,14.5894292634787,28.5320628070193,3.52234941892778,29.5020734785076,0,3,MV-001,step_steer_30kmh
2745,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.744,38.832530248202,-0.266459174078278,14.5892565378435,28.541959290375,3.52664087731519,29.511862226307,0,3,MV-001,step_steer_30kmh
2746,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.745,38.8320276295654,-0.266429899973172,14.5890835867842,28.55185455036,3.53093480502856,29.5216496889408,0,3,MV-001,step_steer_30kmh
2747,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.746,38.8315250205834,-0.26640064873273,14.5889104222803,28.5617485863755,3.53523120168828,29.5314358658225,0,3,MV-001,step_steer_30kmh
2748,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.747,38.8310224211649,-0.266371418611767,14.5887370566085,28.5716413978227,3.53953006691492,29.5412207563661,0,3,MV-001,step_steer_30kmh
2749,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.748,38.8305198312161,-0.266342207826893,14.5885635023092,28.581532984103,3.54383140032915,29.5510043599855,0,3,MV-001,step_steer_30kmh
2750,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.749,38.8300172506402,-0.26631301456278,14.5883897721522,28.5914233446175,3.54813520155181,29.5607866760953,0,3,MV-001,step_steer_30kmh
2751,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.75,38.8295146793379,-0.266283836978471,14.5882158791023,28.6013124787677,3.55244147020391,29.5705677041099,0,3,MV-001,step_steer_30kmh
2752,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.751,38.8290121172081,-0.266254673213711,14.5880418362857,28.6112003859546,3.55675020590662,29.5803474434441,0,3,MV-001,step_steer_30kmh
2753,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.752,38.8285095641477,-0.266225521395278,14.5878676569556,28.6210870655797,3.56106140828129,29.590125893513,0,3,MV-001,step_steer_30kmh
2754,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.753,38.828007020052,-0.266196379643239,14.5876933544585,28.6309725170441,3.56537507694945,29.5999030537319,0,3,MV-001,step_steer_30kmh
2755,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.754,38.8275044848156,-0.266167246077252,14.5875189422006,28.6408567397492,3.56969121153282,29.609678923516,0,3,MV-001,step_steer_30kmh
2756,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.755,38.8270019583318,-0.266138118822767,14.5873444336152,28.6507397330961,3.57400981165331,29.619453502281,0,3,MV-001,step_steer_30kmh
2757,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.756,38.8264994404936,-0.266108996017143,14.5871698421292,28.6606214964862,3.57833087693303,29.6292267894427,0,3,MV-001,step_steer_30kmh
